page_id,page_title,users_reverted_2021
52731643,Rashmika Mandanna,173
36736083,Varun Dhawan,171
25055816,Sidharth Shukla,157
62674851,Shehnaaz Gill,149
34394966,Dulquer Salmaan,139
48358969,Rishabh Pant,133
42665835,Kiara Advani,121
51597025,Rohit Sardana,114
894850,Ravi Shastri,114
60454933,Tony Kakkar,110
32433138,Dawood Ibrahim,109
40203246,Avneet Kaur,109
18946730,Sushil Kumar,107
177537,Kalpana Chawla,106
25453094,Bipin Rawat,105
4010984,Neha Kakkar,104
40157960,Tiger Shroff,103
36655551,Vijay Sethupathi,101
3349824,Vikram Batra,101
38871163,Kriti Sanon,100
43275506,Keerthy Suresh,99
59180021,Devdutt Padikkal,99
42935186,Shardul Thakur,99
13491433,Ram Charan,99
63494258,Krithi Shetty,97
31325954,Jasmin Bhasin,97
63378120,Ashwin Kumar Lakshmikanthan,97
33788634,Sivakarthikeyan,96
3035985,Mariam-uz-Zamani,96
47346504,Vicky Kaushal,95
48718166,Sai Pallavi,94
8659345,Tamannaah,93
22833363,Rubina Dilaik,89
48891044,Disha Patani,87
42681679,Ram Nath Kovind,86
39012401,Jasprit Bumrah,86
26036292,Yash (actor),85
65448970,Samay Raina,85
46962543,Vijay Deverakonda,85
5869518,S. S. Rajamouli,84
1938728,Sridevi,84
1137487,Ratan Tata,83
1606261,Saif Ali Khan,83
47877922,Tejasswi Prakash,82
35119251,Arijit Singh,81
20024623,Milkha Singh,81
36092383,Aari Arujunan,81
17243150,Ravichandran Ashwin,80
43198473,Lilly Singh,80
11035100,Sunil Chhetri,80
1691013,Vivek (actor),79
400306,Dilip Kumar,78
66389291,Arjun Tendulkar,78
11541203,Vishal (actor),78
55738633,Ananya Panday,78
620504,Chiranjeevi,78
41421314,Advaitha (actress),77
29274314,P. V. Sindhu,77
438714,Yuvraj Singh,77
48167828,Ishan Kishan,76
